date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:14	172592/172592	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-bold-straight.eot	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-bold-straight.eot	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:14	70928/70928	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-bold-straight.woff2	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-bold-straight.woff2	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:14	88824/88824	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-bold-straight.woff	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-bold-straight.woff	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:15	229604/229604	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-bold-rounded.eot	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-bold-rounded.eot	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:15	89620/89620	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-bold-rounded.woff2	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-bold-rounded.woff2	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:15	112936/112936	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Apr%202023%2014:11:40%20GMT	https://gharpayy.com/homes/assets/fonts/uicons-bold-rounded.woff	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/fonts/uicons-bold-rounded.woff	(from https://gharpayy.com/homes/assets/plugins/css/uicons.css)
17:14:15	2000/2000	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20Jul%202023%2020:39:32%20GMT	https://gharpayy.com/homes/assets/css/topbar.css	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/css/topbar.css	(from https://gharpayy.com/homes/style.css)
17:14:16	5096/5096	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2018:35:44%20GMT	https://gharpayy.com/homes/assets/css/header.css	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/css/header.css	(from https://gharpayy.com/homes/style.css)
17:14:16	14410/14410	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202023%2012:28:34%20GMT	https://gharpayy.com/homes/assets/css/hero-area.css	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/css/hero-area.css	(from https://gharpayy.com/homes/style.css)
17:14:16	1381/1381	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202023%2012:25:36%20GMT	https://gharpayy.com/homes/assets/css/company-fact.css	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/css/company-fact.css	(from https://gharpayy.com/homes/style.css)
